"ALU_PLAN_ID";"ALU_EXP_ID";"notamedia";"PAU_CALIFICACION_NOTA_MATERIA";"PAU_CALIFICACION_NOTA_MATERIA_DECIL";"FISICA_NOTA_MATERIA";"FISICA_NOTA_MATERIA_DECIL";"MATEMATICAS_II_NOTA_MATERIA";"MATEMATICAS_II_NOTA_MATERIA_DECIL";"FUNDAMENTOS_DE_PROGRAMACION_NOTA";"FUNDAMENTOS_DE_PROGRAMACION_CONVOCS_PRESENTADAS_ACUMULA";"FUNDAMENTOS_DE_PROGRAMACION_CONVOCS_HASTA_1RA_VEZ_ACUMULA";"SISTEMAS_Y_CIRCUITOS_NOTA";"SISTEMAS_Y_CIRCUITOS_CONVOCS_PRESENTADAS_ACUMULA";"SISTEMAS_Y_CIRCUITOS_CONVOCS_HASTA_1RA_VEZ_ACUMULA";"TEORIA_DE_LA_COMUNICACION_NOTA";"TEORIA_DE_LA_COMUNICACION_CONVOCS_PRESENTADAS_ACUMULA";"TEORIA_DE_LA_COMUNICACION_CONVOCS_HASTA_1RA_VEZ_ACUMULA"
5051;107;1.14018691588785;7.58;8;4;4;9;8;8.5;0;0;5;0;0;6.2;3;1
5051;108;1.61428571428571;7.69;8;9.8;10;8.75;10;9;1;1;5.1;1;1;7;2;2
5051;132;1.83823529411765;5.78;2;6.1;7;7.8;7;10;1;1;5;0;0;6;0;0
5051;135;1.35164835164835;6.15;4;1.3;1;6;5;9.8;1;4;5;4;1;7;0;0
5051;137;1.16483516483516;6.26;4;1.8;1;1;1;6.1;2;1;5.1;3;1;5;0;0
5051;139;1.30252100840336;5.94;3;2.3;2;1.8;1;6.5;0;0;7;2;1;5.7;1;1
5051;16;1.17045454545455;7.28;7;6;7;9.5;9;6.5;5;1;6;2;2;5.5;2;3
5051;163;1.75;7.75;8;7.4;7;4;4;10;1;1;7.1;1;1;5.5;1;1
5051;165;1.32183908045977;7.46;7;7.9;7;3.25;3;10;1;1;8.5;1;1;NA;NA;NA
5051;166;1.94791666666667;7.97;8;7.8;7;4.25;5;10;1;1;6.3;1;1;7;1;1
5051;169;1.47;6.86;6;7.8;7;9;10;8.2;1;1;8.1;1;1;6.1;1;1
5051;171;1.83;8.6;9;6.28;5;6.53;8;10;1;1;5.9;1;1;5.5;1;1
5051;180;1.62857142857143;6.46;4;3.2;2;4.35;5;5;1;1;5.5;1;1;6.4;2;1
5051;182;1.39130434782609;7.35;7;9.5;10;7.25;8;6.7;1;1;7.7;1;1;5.9;1;1
5051;2;1.6358024691358;8.67;10;6.3;7;9.75;9;5.9;1;1;5;3;1;7;2;1
5051;20;1.03883495145631;7.25;7;6.6;8;8.67;8;6.5;1;4;5;1;4;5.8;3;5
5051;209;1.52427184466019;6.25;4;3.8;4;7;6;6;0;0;5;0;0;NA;NA;NA
5051;211;2.05147058823529;6.83;6;7.65;7;3.25;4;7.4;0;0;NA;NA;NA;7;1;1
5051;214;1.11578947368421;7.68;8;5.4;7;10;10;7.8;0;0;5;0;0;6.5;1;1
5051;216;1.3963963963964;7.4;7;3.5;4;7.25;5;7.6;0;0;5.5;0;0;5.9;0;0
5051;217;1.70731707317073;7.3;7;5;6;9.15;9;7.5;0;0;7.3;0;0;5.6;1;1
5051;218;1.34558823529412;7.49;7;4.8;5;10;10;6.7;0;0;6;1;1;5.8;0;0
5051;219;1.37362637362637;5.51;4;2.2;4;3;4;5;1;1;5.4;1;1;NA;NA;NA
5051;22;1.9625;8.28;9;6.1;7;6.6;4;5.8;3;1;6;4;1;5.5;1;1
5051;223;1.48717948717949;6.19;4;2.8;3;4.5;2;8;0;0;5.1;0;0;6.6;1;1
5051;225;1.36428571428571;7.33;7;4.8;5;9;8;9.7;1;1;5.1;0;0;6.4;0;0
5051;231;1.43373493975904;5.6;2;4;5;4.1;2;6;1;1;5.1;0;0;7;0;0
5051;238;1.34939759036145;6.68;6;5.1;4;5.8;4;5.4;0;0;6.4;0;0;NA;NA;NA
5051;279;1.34558823529412;6.07;9;6.6;8;6.6;9;5;0;0;5.6;0;0;5;2;2
5051;281;1.5234375;8.5;10;8.3;9;6.4;5;7;0;0;6.2;0;0;7.8;0;0
5051;282;1.24242424242424;5.83;6;5.6;8;4.5;4;7.5;1;1;5;0;0;6.2;0;0
5051;283;1.484375;6.63;6;5.7;5;5.6;8;7;1;1;NA;0;0;5.3;0;0
5051;29;1.425;6.07;3;4;4;4.5;2;6.1;3;1;5.2;2;1;NA;NA;NA
5051;30;1.58064516129032;5.92;3;3.8;4;3.8;2;9.1;3;3;5.1;4;1;NA;NA;NA
5051;31;1.31304347826087;5.64;5;4.8;7;5.75;6;5.9;3;1;6.1;1;1;NA;NA;NA
5051;382;1.18518518518519;7.85;9;7.6;8;3.3;5;5.5;0;0;NA;0;0;5;0;0
5051;384;1.45394736842105;7.94;9;6.1;7;4.5;6;6.6;0;0;5.5;0;0;5.9;0;0
5051;385;1.08421052631579;5.55;5;4.9;7;3.3;3;5;1;3;5.7;0;0;6.1;0;0
5051;387;1.14285714285714;5.69;2;4;4;5;2;8.7;0;0;5;0;0;NA;NA;NA
5051;39;1.57236842105263;6.19;4;4.2;4;3.5;2;7;0;0;5;1;1;5.3;2;1
5051;394;1.20833333333333;5.56;5;6.8;10;4.4;6;6.2;1;1;6.2;0;0;8.3;0;0
5051;395;1.22330097087379;5.31;1;2.8;2;6;4;5;0;0;6.3;0;0;NA;NA;NA
5051;397;1.49532710280374;6.04;8;6;9;8.7;10;10;1;1;6.8;0;0;5;0;0
5051;40;1.40972222222222;7.76;9;4.1;4;6;8;5.7;0;0;5.9;1;1;6.3;2;1
5051;41;1.18018018018018;5.72;2;2.8;2;5.8;4;6;4;1;5.7;6;1;NA;NA;NA
5051;572;1.41666666666667;6.59;5;5.1;4;1.63;2;7.3;0;0;5;0;0;6.2;0;0
5051;91;1.40909090909091;8.2;9;9.85;10;9.5;10;7.8;1;1;5;2;1;6.1;2;1
